POINT_ID,BARANGAY_NAME,X,Y,YEAR,FLOOD_RECURRENT
Balaba_27,Balaba,558234.9090934561,1471499.415482065,2013,0
Balaba_27,Balaba,558234.9090934561,1471499.415482065,2014,0
Balaba_27,Balaba,558234.9090934561,1471499.415482065,2015,0
Balaba_27,Balaba,558234.9090934561,1471499.415482065,2016,0
Balaba_27,Balaba,558234.9090934561,1471499.415482065,2017,0
Balaba_27,Balaba,558234.9090934561,1471499.415482065,2018,0
Balaba_27,Balaba,558234.9090934561,1471499.415482065,2019,0
Balaba_27,Balaba,558234.9090934561,1471499.415482065,2020,1
Balaba_27,Balaba,558234.9090934561,1471499.415482065,2021,0
Balaba_27,Balaba,558234.9090934561,1471499.415482065,2022,0
Balaba_27,Balaba,558234.9090934561,1471499.415482065,2023,0
Balaba_27,Balaba,558234.9090934561,1471499.415482065,2024,1
Balaba_28,Balaba,560088.6389926658,1472775.6755796357,2010,0
Balaba_28,Balaba,560088.6389926658,1472775.6755796357,2011,0
Balaba_28,Balaba,560088.6389926658,1472775.6755796357,2012,0
Balaba_28,Balaba,560088.6389926658,1472775.6755796357,2013,0
Balaba_28,Balaba,560088.6389926658,1472775.6755796357,2014,0
Balaba_28,Balaba,560088.6389926658,1472775.6755796357,2015,0
Balaba_28,Balaba,560088.6389926658,1472775.6755796357,2016,0
Balaba_28,Balaba,560088.6389926658,1472775.6755796357,2017,0
Balaba_28,Balaba,560088.6389926658,1472775.6755796357,2018,0
Balaba_28,Balaba,560088.6389926658,1472775.6755796357,2019,0
Balaba_28,Balaba,560088.6389926658,1472775.6755796357,2020,1
Balaba_28,Balaba,560088.6389926658,1472775.6755796357,2021,0
Balaba_28,Balaba,560088.6389926658,1472775.6755796357,2022,0
Balaba_28,Balaba,560088.6389926658,1472775.6755796357,2023,0
Balaba_28,Balaba,560088.6389926658,1472775.6755796357,2024,1
Balaba_29,Balaba,558529.5049983519,1471799.786081952,2010,0
Balaba_29,Balaba,558529.5049983519,1471799.786081952,2011,0
Balaba_29,Balaba,558529.5049983519,1471799.786081952,2012,0
Balaba_29,Balaba,558529.5049983519,1471799.786081952,2013,0
Balaba_29,Balaba,558529.5049983519,1471799.786081952,2014,0
Balaba_29,Balaba,558529.5049983519,1471799.786081952,2015,0
Balaba_29,Balaba,558529.5049983519,1471799.786081952,2016,0
Balaba_29,Balaba,558529.5049983519,1471799.786081952,2017,0
Balaba_29,Balaba,558529.5049983519,1471799.786081952,2018,0
Balaba_29,Balaba,558529.5049983519,1471799.786081952,2019,0
Balaba_29,Balaba,558529.5049983519,1471799.786081952,2020,1
Balaba_29,Balaba,558529.5049983519,1471799.786081952,2021,0
Balaba_29,Balaba,558529.5049983519,1471799.786081952,2022,0
Balaba_29,Balaba,558529.5049983519,1471799.786081952,2023,0
Balaba_29,Balaba,558529.5049983519,1471799.786081952,2024,1
Balaba_30,Balaba,558363.6119399429,1472403.7055183144,2010,0
Balaba_30,Balaba,558363.6119399429,1472403.7055183144,2011,0
Balaba_30,Balaba,558363.6119399429,1472403.7055183144,2012,0
Balaba_30,Balaba,558363.6119399429,1472403.7055183144,2013,0
Balaba_30,Balaba,558363.6119399429,1472403.7055183144,2014,0
Balaba_30,Balaba,558363.6119399429,1472403.7055183144,2015,0
